epoch,train_loss,val_macro_auc_roc,val_macro_auprc,epoch_seconds,learning_rate
1,1.0160790338516235,0.596166806467792,0.1317858260258431,111.11035319999792,0.0001
2,0.8267442105611166,0.6232851789397517,0.1117222004365303,111.71979230002034,0.0001
3,0.7173607549667358,0.6811144323923591,0.1312565611281797,110.84897380002076,0.0001
4,0.6348483190536499,0.6952146478186035,0.12289818122400335,110.06743950000964,0.0001
5,0.569667226155599,0.6972111348516602,0.13214927241899868,110.75300680001965,0.0001
6,0.5073022338549296,0.6911241544597848,0.12439470071925501,111.50218189996667,0.0001
7,0.464913520971934,0.694164076405543,0.1211379416016707,112.02163689996814,5e-05
8,0.42293186219533285,0.6968440116607613,0.1254470563578521,111.1148561000009,5e-05
9,0.40362796584765115,0.6873263391291267,0.12374094723334345,111.35244950000197,2.5e-05
