name,mode,loss,optimized,validation_macro_auc-roc,best_epoch,epochs_completed,total_train_seconds,mean_epoch_seconds,peak_memory_gb,trainable_parameters,total_parameters,comparable_auc_roc_target,time_to_comparable_auc_roc_seconds
full_ft_fp32,full,weighted_bce,False,0.5777605361662732,1,5,364.4425684000016,72.86675560000586,,6968206,6968206,0.5727605361662732,65.00813269999344
partial_ft_fp32,partial,weighted_bce,False,0.5940076666703491,3,7,256.7784883999848,36.46378592857426,,2174478,6968206,0.5727605361662732,71.64972089999355
partial_ft_optm,partial,weighted_bce,True,0.5940076666703491,3,7,254.63581279997015,36.332852014290566,,2174478,6968206,0.5727605361662732,72.80080289999023
