epoch,train_loss,val_macro_auc_roc,val_macro_auprc,epoch_seconds,learning_rate
1,1.1058160147666931,0.5777605361662732,0.11059006356193038,65.00813269999344,0.0001
2,0.8571026067733765,0.5561572604890772,0.1279132125646624,62.704350500018336,0.0001
3,0.7128866462707519,0.5050961320650521,0.10789087042258423,75.64926819998072,5e-05
4,0.5988959412574768,0.5276874407796094,0.11298744323319651,80.59485230001155,5e-05
5,0.5373496737480163,0.5092698226437815,0.11551179895152074,80.37717430002522,2.5e-05
