name,mode,loss,optimized,validation_macro_auc-roc,best_epoch,epochs_completed,total_train_seconds,mean_epoch_seconds,peak_memory_gb,trainable_parameters,total_parameters,comparable_auc_roc_target,time_to_comparable_auc_roc_seconds
full_ft_fp32,full,weighted_bce,False,0.6714305751601022,7,10,1910.7659981999896,191.01293085999788,,6968206,6968206,0.6664305751601022,1318.3709938999964
partial_ft_fp32,partial,weighted_bce,False,0.6717378074137943,6,10,760.3784621999948,75.96331609999179,,2174478,6968206,0.6664305751601022,381.81109259993536
partial_ft_optm,partial,weighted_bce,True,0.6717378074137943,6,10,735.7002474000328,73.50446487999871,,2174478,6968206,0.6664305751601022,370.75661859998945
