epoch,train_loss,val_macro_auc_roc,val_macro_auprc,epoch_seconds,learning_rate
1,1.064343379497528,0.5721358300943536,0.14416912545454208,77.19666180002969,0.0001
2,0.873002875328064,0.5855201610896184,0.15182357455802117,73.22041899996111,0.0001
3,0.7693916006088257,0.6072451672583049,0.14981367863762557,70.43592139997054,0.0001
4,0.676654507637024,0.6478225631778765,0.16470401196431825,71.64181749999989,0.0001
5,0.6062269544601441,0.670314134235316,0.16675703896602478,78.26179890002823,0.0001
6,0.5526776161193848,0.6717378074137943,0.17159317272452548,76.85487919999287,0.0001
7,0.5035957489013672,0.6613119024792923,0.16080250088048292,69.77974000002723,0.0001
8,0.44680797958374024,0.6465687785230393,0.16201414844766318,69.99295359995449,5e-05
9,0.41287795305252073,0.6523588238899299,0.160300549010362,71.78223130002152,5e-05
10,0.3915884873867035,0.6544965799102711,0.16092898788666288,75.87822610000148,2.5e-05
