epoch,train_loss,val_macro_auc_roc,val_macro_auprc,epoch_seconds,learning_rate
1,1.0649213514328002,0.579083207598694,0.13733372706297542,154.23514660005458,0.0001
2,0.801768232345581,0.580557834452343,0.16611926487302942,227.61413129995344,0.0001
3,0.6498104124069214,0.6044884702128877,0.17136076336649975,177.76399639999727,0.0001
4,0.5097245206832886,0.6607468520320655,0.20270195741322422,176.1487638000399,0.0001
5,0.4245696518421173,0.6544713702173238,0.18214970094703195,181.46871699998155,0.0001
6,0.3558714985847473,0.66277786982196,0.16486887118011015,186.00863870000467,0.0001
7,0.2926350302696228,0.6714305751601022,0.18132437690287603,215.131600099965,0.0001
8,0.24242701947689058,0.6612757552985732,0.152685202312351,186.6808607999701,0.0001
9,0.2044619241952896,0.6496121197056848,0.14162442544335588,190.38971369998762,5e-05
10,0.1732071760892868,0.6539263531392773,0.13330354920708964,214.68774020002456,5e-05
