epoch,train_loss,val_macro_auc_roc,val_macro_auprc,epoch_seconds,learning_rate
1,1.064343379497528,0.5721358300943536,0.14416912545454208,73.50061550003011,0.0001
2,0.873002875328064,0.5855201610896184,0.15182357455802117,76.64369949995307,0.0001
3,0.7693916006088257,0.6072451672583049,0.14981367863762557,83.34092759998748,0.0001
4,0.676654507637024,0.6478225631778765,0.16470401196431825,74.51374630001374,0.0001
5,0.6062269544601441,0.670314134235316,0.16675703896602478,73.81210369995097,0.0001
6,0.5526776161193848,0.6717378074137943,0.17159317272452548,80.09660180000355,0.0001
7,0.5035957489013672,0.6613119024792923,0.16080250088048292,78.72152700001607,0.0001
8,0.44680797958374024,0.6465687785230393,0.16201414844766318,71.74483139999211,5e-05
9,0.41287795305252073,0.6523588238899299,0.160300549010362,72.66309270000784,5e-05
10,0.3915884873867035,0.6544965799102711,0.16092898788666288,74.59601549996296,2.5e-05
